time_period,phase_type_grouping,pupil_sen_status,primary_need,pupil_count,Need_code,Need_category,AYCode
202122,nursery,Total,"Speech, Language and Communications needs",3869,SLCN,Communication & Interaction,2021
202122,nursery,Total,Visual Impairment,44,VI,Physical &/or Sensory,2021
202122,primary,EHC plans,Autistic Spectrum Disorder,32388,ASD,Communication & Interaction,2021
202122,primary,EHC plans,Hearing Impairment,2567,HI,Physical &/or Sensory,2021
202122,primary,EHC plans,Missing,1,MN,Other,2021
202122,primary,EHC plans,Moderate Learning Difficulty,8279,MLD,Cognition & Learning,2021
202122,primary,EHC plans,Multi- Sensory Impairment,494,MSI,Physical &/or Sensory,2021
202122,primary,EHC plans,Other Difficulty/Disability,2948,OTH,Other,2021
202122,primary,EHC plans,Physical Disability,5444,PD,Physical &/or Sensory,2021
202122,primary,EHC plans,Profound & Multiple Learning Difficulty,1244,PMLD,Cognition & Learning,2021
202122,primary,EHC plans,Severe Learning Difficulty,2408,SLD,Cognition & Learning,2021
202122,primary,EHC plans,"Social, Emotional and Mental Health",13828,SEMH,"Social, Emotional, Mental Health",2021
202122,primary,EHC plans,Specific Learning Difficulty,4458,SPLD,Cognition & Learning,2021
202122,primary,EHC plans,"Speech, Language and Communications needs",30369,SLCN,Communication & Interaction,2021
202122,primary,EHC plans,Visual Impairment,1328,VI,Physical &/or Sensory,2021
202122,primary,No SEN,Missing,3943671,MN,Other,2021
202122,primary,SEN Support,Autistic Spectrum Disorder,37260,ASD,Communication & Interaction,2021
202122,primary,SEN Support,Hearing Impairment,8318,HI,Physical &/or Sensory,2021
202122,primary,SEN Support,Missing,20,MN,Other,2021
202122,primary,SEN Support,Moderate Learning Difficulty,112009,MLD,Cognition & Learning,2021
202122,primary,SEN Support,Multi- Sensory Impairment,1860,MSI,Physical &/or Sensory,2021
202122,primary,SEN Support,Other Difficulty/Disability,20118,OTH,Other,2021
202122,primary,SEN Support,Physical Disability,12773,PD,Physical &/or Sensory,2021
202122,primary,SEN Support,Profound & Multiple Learning Difficulty,417,PMLD,Cognition & Learning,2021
202122,primary,SEN Support,SEN support but no specialist assessment of type of need,31485,NSA,No Specific Assessment,2021
202122,primary,SEN Support,Severe Learning Difficulty,1444,SLD,Cognition & Learning,2021
202122,primary,SEN Support,"Social, Emotional and Mental Health",105415,SEMH,"Social, Emotional, Mental Health",2021
202122,primary,SEN Support,Specific Learning Difficulty,60270,SPLD,Cognition & Learning,2021
202122,primary,SEN Support,"Speech, Language and Communications needs",209819,SLCN,Communication & Interaction,2021
202122,primary,SEN Support,Visual Impairment,4878,VI,Physical &/or Sensory,2021
202122,primary,Total,Autistic Spectrum Disorder,69648,ASD,Communication & Interaction,2021
202122,primary,Total,Hearing Impairment,10885,HI,Physical &/or Sensory,2021
202122,primary,Total,Missing,3943692,MN,Other,2021
202122,primary,Total,Moderate Learning Difficulty,120288,MLD,Cognition & Learning,2021
202122,primary,Total,Multi- Sensory Impairment,2354,MSI,Physical &/or Sensory,2021
202122,primary,Total,Other Difficulty/Disability,23066,OTH,Other,2021
202122,primary,Total,Physical Disability,18217,PD,Physical &/or Sensory,2021
202122,primary,Total,Profound & Multiple Learning Difficulty,1661,PMLD,Cognition & Learning,2021
202122,primary,Total,SEN support but no specialist assessment of type of need,31485,NSA,No Specific Assessment,2021
202122,primary,Total,Severe Learning Difficulty,3852,SLD,Cognition & Learning,2021
202122,primary,Total,"Social, Emotional and Mental Health",119243,SEMH,"Social, Emotional, Mental Health",2021
202122,primary,Total,Specific Learning Difficulty,64728,SPLD,Cognition & Learning,2021
202122,primary,Total,"Speech, Language and Communications needs",240188,SLCN,Communication & Interaction,2021
202122,primary,Total,Visual Impairment,6206,VI,Physical &/or Sensory,2021
202122,secondary,EHC plans,Autistic Spectrum Disorder,21661,ASD,Communication & Interaction,2021
202122,secondary,EHC plans,Hearing Impairment,2105,HI,Physical &/or Sensory,2021
202122,secondary,EHC plans,Moderate Learning Difficulty,8641,MLD,Cognition & Learning,2021
202122,secondary,EHC plans,Multi- Sensory Impairment,267,MSI,Physical &/or Sensory,2021
202122,secondary,EHC plans,Other Difficulty/Disability,2616,OTH,Other,2021
202122,secondary,EHC plans,Physical Disability,4240,PD,Physical &/or Sensory,2021
202122,secondary,EHC plans,Profound & Multiple Learning Difficulty,319,PMLD,Cognition & Learning,2021
202122,secondary,EHC plans,Severe Learning Difficulty,1226,SLD,Cognition & Learning,2021
202122,secondary,EHC plans,"Social, Emotional and Mental Health",15569,SEMH,"Social, Emotional, Mental Health",2021
202122,secondary,EHC plans,Specific Learning Difficulty,5656,SPLD,Cognition & Learning,2021
202122,secondary,EHC plans,"Speech, Language and Communications needs",13130,SLCN,Communication & Interaction,2021
202122,secondary,EHC plans,Visual Impairment,1408,VI,Physical &/or Sensory,2021
202122,secondary,No SEN,Missing,3065470,MN,Other,2021
202122,secondary,SEN Support,Autistic Spectrum Disorder,40937,ASD,Communication & Interaction,2021
202122,secondary,SEN Support,Hearing Impairment,8281,HI,Physical &/or Sensory,2021
202122,secondary,SEN Support,Moderate Learning Difficulty,84935,MLD,Cognition & Learning,2021
202122,secondary,SEN Support,Multi- Sensory Impairment,1129,MSI,Physical &/or Sensory,2021
202122,secondary,SEN Support,Other Difficulty/Disability,24228,OTH,Other,2021
202122,secondary,SEN Support,Physical Disability,9807,PD,Physical &/or Sensory,2021
202122,secondary,SEN Support,Profound & Multiple Learning Difficulty,150,PMLD,Cognition & Learning,2021
202122,secondary,SEN Support,SEN support but no specialist assessment of type of need,14117,NSA,No Specific Assessment,2021
202122,secondary,SEN Support,Severe Learning Difficulty,668,SLD,Cognition & Learning,2021
202122,secondary,SEN Support,"Social, Emotional and Mental Health",97855,SEMH,"Social, Emotional, Mental Health",2021
202122,secondary,SEN Support,Specific Learning Difficulty,89415,SPLD,Cognition & Learning,2021
202122,secondary,SEN Support,"Speech, Language and Communications needs",48601,SLCN,Communication & Interaction,2021
202122,secondary,SEN Support,Visual Impairment,4947,VI,Physical &/or Sensory,2021
202122,secondary,Total,Autistic Spectrum Disorder,62598,ASD,Communication & Interaction,2021
202122,secondary,Total,Hearing Impairment,10386,HI,Physical &/or Sensory,2021
202122,secondary,Total,Missing,3065470,MN,Other,2021
202122,secondary,Total,Moderate Learning Difficulty,93576,MLD,Cognition & Learning,2021
202122,secondary,Total,Multi- Sensory Impairment,1396,MSI,Physical &/or Sensory,2021
202122,secondary,Total,Other Difficulty/Disability,26844,OTH,Other,2021
202122,secondary,Total,Physical Disability,14047,PD,Physical &/or Sensory,2021
202122,secondary,Total,Profound & Multiple Learning Difficulty,469,PMLD,Cognition & Learning,2021
202122,secondary,Total,SEN support but no specialist assessment of type of need,14117,NSA,No Specific Assessment,2021
202122,secondary,Total,Severe Learning Difficulty,1894,SLD,Cognition & Learning,2021
202122,secondary,Total,"Social, Emotional and Mental Health",113424,SEMH,"Social, Emotional, Mental Health",2021
202122,secondary,Total,Specific Learning Difficulty,95071,SPLD,Cognition & Learning,2021
202122,secondary,Total,"Speech, Language and Communications needs",61731,SLCN,Communication & Interaction,2021
202122,secondary,Total,Visual Impairment,6355,VI,Physical &/or Sensory,2021
202122,special,EHC plans,Autistic Spectrum Disorder,47358,ASD,Communication & Interaction,2021
202122,special,EHC plans,Hearing Impairment,1040,HI,Physical &/or Sensory,2021
202122,special,EHC plans,Moderate Learning Difficulty,14886,MLD,Cognition & Learning,2021
202122,special,EHC plans,Multi- Sensory Impairment,303,MSI,Physical &/or Sensory,2021
202122,special,EHC plans,Other Difficulty/Disability,2719,OTH,Other,2021
202122,special,EHC plans,Physical Disability,3963,PD,Physical &/or Sensory,2021
202122,special,EHC plans,Profound & Multiple Learning Difficulty,8340,PMLD,Cognition & Learning,2021
202122,special,EHC plans,Severe Learning Difficulty,27626,SLD,Cognition & Learning,2021
202122,special,EHC plans,"Social, Emotional and Mental Health",17436,SEMH,"Social, Emotional, Mental Health",2021
202122,special,EHC plans,Specific Learning Difficulty,2735,SPLD,Cognition & Learning,2021
202122,special,EHC plans,"Speech, Language and Communications needs",12950,SLCN,Communication & Interaction,2021
202122,special,EHC plans,Visual Impairment,777,VI,Physical &/or Sensory,2021
202122,special,No SEN,Missing,48,MN,Other,2021
202122,special,SEN Support,Autistic Spectrum Disorder,234,ASD,Communication & Interaction,2021
202122,special,SEN Support,Hearing Impairment,16,HI,Physical &/or Sensory,2021
202122,special,SEN Support,Moderate Learning Difficulty,69,MLD,Cognition & Learning,2021
202122,special,SEN Support,Multi- Sensory Impairment,2,MSI,Physical &/or Sensory,2021
202122,special,SEN Support,Other Difficulty/Disability,76,OTH,Other,2021
202122,special,SEN Support,Physical Disability,52,PD,Physical &/or Sensory,2021
202122,special,SEN Support,Profound & Multiple Learning Difficulty,130,PMLD,Cognition & Learning,2021
202122,special,SEN Support,SEN support but no specialist assessment of type of need,113,NSA,No Specific Assessment,2021
202122,special,SEN Support,Severe Learning Difficulty,224,SLD,Cognition & Learning,2021
202122,special,SEN Support,"Social, Emotional and Mental Health",169,SEMH,"Social, Emotional, Mental Health",2021
202122,special,SEN Support,Specific Learning Difficulty,38,SPLD,Cognition & Learning,2021
202122,special,SEN Support,"Speech, Language and Communications needs",126,SLCN,Communication & Interaction,2021
202122,special,SEN Support,Visual Impairment,7,VI,Physical &/or Sensory,2021
202122,special,Total,Autistic Spectrum Disorder,47592,ASD,Communication & Interaction,2021
202122,special,Total,Hearing Impairment,1056,HI,Physical &/or Sensory,2021
202122,special,Total,Missing,48,MN,Other,2021
202122,special,Total,Moderate Learning Difficulty,14955,MLD,Cognition & Learning,2021
202122,special,Total,Multi- Sensory Impairment,305,MSI,Physical &/or Sensory,2021
202122,special,Total,Other Difficulty/Disability,2795,OTH,Other,2021
202122,special,Total,Physical Disability,4015,PD,Physical &/or Sensory,2021
202122,special,Total,Profound & Multiple Learning Difficulty,8470,PMLD,Cognition & Learning,2021
202122,special,Total,SEN support but no specialist assessment of type of need,113,NSA,No Specific Assessment,2021
202122,special,Total,Severe Learning Difficulty,27850,SLD,Cognition & Learning,2021
202122,special,Total,"Social, Emotional and Mental Health",17605,SEMH,"Social, Emotional, Mental Health",2021
202122,special,Total,Specific Learning Difficulty,2773,SPLD,Cognition & Learning,2021
202122,special,Total,"Speech, Language and Communications needs",13076,SLCN,Communication & Interaction,2021
202122,special,Total,Visual Impairment,784,VI,Physical &/or Sensory,2021
202122,Total,EHC plans,Autistic Spectrum Disorder,103429,ASD,Communication & Interaction,2021
202122,Total,EHC plans,Hearing Impairment,6189,HI,Physical &/or Sensory,2021
202122,Total,EHC plans,Missing,1,MN,Other,2021
202122,Total,EHC plans,Moderate Learning Difficulty,32057,MLD,Cognition & Learning,2021
202122,Total,EHC plans,Multi- Sensory Impairment,1104,MSI,Physical &/or Sensory,2021
202122,Total,EHC plans,Other Difficulty/Disability,8424,OTH,Other,2021
202122,Total,EHC plans,Physical Disability,14020,PD,Physical &/or Sensory,2021
202122,Total,EHC plans,Profound & Multiple Learning Difficulty,10108,PMLD,Cognition & Learning,2021
202122,Total,EHC plans,Severe Learning Difficulty,31504,SLD,Cognition & Learning,2021
202122,Total,EHC plans,"Social, Emotional and Mental Health",49525,SEMH,"Social, Emotional, Mental Health",2021
202122,Total,EHC plans,Specific Learning Difficulty,13034,SPLD,Cognition & Learning,2021
202122,Total,EHC plans,"Speech, Language and Communications needs",57341,SLCN,Communication & Interaction,2021
202122,Total,EHC plans,Visual Impairment,3711,VI,Physical &/or Sensory,2021
202122,Total,No SEN,Missing,7043268,MN,Other,2021
202122,Total,SEN Support,Autistic Spectrum Disorder,79064,ASD,Communication & Interaction,2021
202122,Total,SEN Support,Hearing Impairment,16695,HI,Physical &/or Sensory,2021
202122,Total,SEN Support,Missing,20,MN,Other,2021
202122,Total,SEN Support,Moderate Learning Difficulty,197409,MLD,Cognition & Learning,2021
202122,Total,SEN Support,Multi- Sensory Impairment,3008,MSI,Physical &/or Sensory,2021
202122,Total,SEN Support,Other Difficulty/Disability,44720,OTH,Other,2021
202122,Total,SEN Support,Physical Disability,22862,PD,Physical &/or Sensory,2021
202122,Total,SEN Support,Profound & Multiple Learning Difficulty,769,PMLD,Cognition & Learning,2021
202122,Total,SEN Support,SEN support but no specialist assessment of type of need,46103,NSA,No Specific Assessment,2021
202122,Total,SEN Support,Severe Learning Difficulty,2434,SLD,Cognition & Learning,2021
202122,Total,SEN Support,"Social, Emotional and Mental Health",208916,SEMH,"Social, Emotional, Mental Health",2021
202122,Total,SEN Support,Specific Learning Difficulty,149997,SPLD,Cognition & Learning,2021
202122,Total,SEN Support,"Speech, Language and Communications needs",262416,SLCN,Communication & Interaction,2021
202122,Total,SEN Support,Visual Impairment,9885,VI,Physical &/or Sensory,2021
202122,Total,Total,Autistic Spectrum Disorder,182493,ASD,Communication & Interaction,2021
202122,Total,Total,Hearing Impairment,22884,HI,Physical &/or Sensory,2021
202122,Total,Total,Missing,7043289,MN,Other,2021
202122,Total,Total,Moderate Learning Difficulty,229466,MLD,Cognition & Learning,2021
202122,Total,Total,Multi- Sensory Impairment,4112,MSI,Physical &/or Sensory,2021
202122,Total,Total,Other Difficulty/Disability,53144,OTH,Other,2021
202122,Total,Total,Physical Disability,36882,PD,Physical &/or Sensory,2021
202122,Total,Total,Profound & Multiple Learning Difficulty,10877,PMLD,Cognition & Learning,2021
202122,Total,Total,SEN support but no specialist assessment of type of need,46103,NSA,No Specific Assessment,2021
202122,Total,Total,Severe Learning Difficulty,33938,SLD,Cognition & Learning,2021
202122,Total,Total,"Social, Emotional and Mental Health",258441,SEMH,"Social, Emotional, Mental Health",2021
202122,Total,Total,Specific Learning Difficulty,163031,SPLD,Cognition & Learning,2021
202122,Total,Total,"Speech, Language and Communications needs",319757,SLCN,Communication & Interaction,2021
202122,Total,Total,Visual Impairment,13596,VI,Physical &/or Sensory,2021
202021,special,EHC plans,Autistic Spectrum Disorder,1207,ASD,Communication & Interaction,2020
202021,special,EHC plans,Hearing Impairment,435,HI,Physical &/or Sensory,2020
202021,special,EHC plans,Moderate Learning Difficulty,128,MLD,Cognition & Learning,2020
202021,special,EHC plans,Multi- Sensory Impairment,51,MSI,Physical &/or Sensory,2020
202021,special,EHC plans,Other Difficulty/Disability,35,OTH,Other,2020
202021,special,EHC plans,Physical Disability,336,PD,Physical &/or Sensory,2020
202021,special,EHC plans,Profound & Multiple Learning Difficulty,203,PMLD,Cognition & Learning,2020
202021,special,EHC plans,Severe Learning Difficulty,212,SLD,Cognition & Learning,2020
202021,special,EHC plans,"Social, Emotional and Mental Health",434,SEMH,"Social, Emotional, Mental Health",2020
202021,special,EHC plans,Specific Learning Difficulty,85,SPLD,Cognition & Learning,2020
202021,special,EHC plans,"Speech, Language and Communications needs",526,SLCN,Communication & Interaction,2020
202021,special,EHC plans,Visual Impairment,198,VI,Physical &/or Sensory,2020
202021,special,No SEN,Missing,11,MN,Other,2020
202021,special,SEN Support,Autistic Spectrum Disorder,2,ASD,Communication & Interaction,2020
202021,special,SEN Support,Hearing Impairment,12,HI,Physical &/or Sensory,2020
202021,special,SEN Support,Moderate Learning Difficulty,1,MLD,Cognition & Learning,2020
202021,special,SEN Support,Other Difficulty/Disability,2,OTH,Other,2020
202021,special,SEN Support,Physical Disability,2,PD,Physical &/or Sensory,2020
202021,special,SEN Support,Profound & Multiple Learning Difficulty,12,PMLD,Cognition & Learning,2020
202021,special,SEN Support,Severe Learning Difficulty,2,SLD,Cognition & Learning,2020
202021,special,SEN Support,"Social, Emotional and Mental Health",2,SEMH,"Social, Emotional, Mental Health",2020
202021,special,SEN Support,"Speech, Language and Communications needs",8,SLCN,Communication & Interaction,2020
202021,special,SEN Support,Visual Impairment,20,VI,Physical &/or Sensory,2020
202021,special,Total,Autistic Spectrum Disorder,1209,ASD,Communication & Interaction,2020
202021,special,Total,Hearing Impairment,447,HI,Physical &/or Sensory,2020
202021,special,Total,Missing,11,MN,Other,2020
202021,special,Total,Moderate Learning Difficulty,129,MLD,Cognition & Learning,2020
202021,special,Total,Multi- Sensory Impairment,51,MSI,Physical &/or Sensory,2020
202021,special,Total,Other Difficulty/Disability,37,OTH,Other,2020
202021,special,Total,Physical Disability,338,PD,Physical &/or Sensory,2020
202021,special,Total,Profound & Multiple Learning Difficulty,215,PMLD,Cognition & Learning,2020
202021,special,Total,Severe Learning Difficulty,214,SLD,Cognition & Learning,2020
202021,special,Total,"Social, Emotional and Mental Health",436,SEMH,"Social, Emotional, Mental Health",2020
202021,special,Total,Specific Learning Difficulty,85,SPLD,Cognition & Learning,2020
202021,special,Total,"Speech, Language and Communications needs",534,SLCN,Communication & Interaction,2020
202021,special,Total,Visual Impairment,218,VI,Physical &/or Sensory,2020
202021,AP,EHC plans,Autistic Spectrum Disorder,542,ASD,Communication & Interaction,2020
202021,AP,EHC plans,Hearing Impairment,7,HI,Physical &/or Sensory,2020
202021,AP,EHC plans,Moderate Learning Difficulty,127,MLD,Cognition & Learning,2020
202021,AP,EHC plans,Multi- Sensory Impairment,4,MSI,Physical &/or Sensory,2020
202021,AP,EHC plans,Other Difficulty/Disability,73,OTH,Other,2020
202021,AP,EHC plans,Physical Disability,21,PD,Physical &/or Sensory,2020
202021,AP,EHC plans,Profound & Multiple Learning Difficulty,2,PMLD,Cognition & Learning,2020
202021,AP,EHC plans,Severe Learning Difficulty,12,SLD,Cognition & Learning,2020
202021,AP,EHC plans,"Social, Emotional and Mental Health",2044,SEMH,"Social, Emotional, Mental Health",2020
202021,AP,EHC plans,Specific Learning Difficulty,85,SPLD,Cognition & Learning,2020
202021,AP,EHC plans,"Speech, Language and Communications needs",141,SLCN,Communication & Interaction,2020
202021,AP,EHC plans,Visual Impairment,6,VI,Physical &/or Sensory,2020
202021,AP,No SEN,Missing,2210,MN,Other,2020
202021,AP,SEN Support,Autistic Spectrum Disorder,100,ASD,Communication & Interaction,2020
202021,AP,SEN Support,Hearing Impairment,13,HI,Physical &/or Sensory,2020
202021,AP,SEN Support,Moderate Learning Difficulty,308,MLD,Cognition & Learning,2020
202021,AP,SEN Support,Multi- Sensory Impairment,5,MSI,Physical &/or Sensory,2020
202021,AP,SEN Support,Other Difficulty/Disability,173,OTH,Other,2020
202021,AP,SEN Support,Physical Disability,18,PD,Physical &/or Sensory,2020
202021,AP,SEN Support,SEN support but no specialist assessment of type of need,260,NSA,No Specific Assessment,2020
202021,AP,SEN Support,Severe Learning Difficulty,1,SLD,Cognition & Learning,2020
202021,AP,SEN Support,"Social, Emotional and Mental Health",6233,SEMH,"Social, Emotional, Mental Health",2020
202021,AP,SEN Support,Specific Learning Difficulty,239,SPLD,Cognition & Learning,2020
202021,AP,SEN Support,"Speech, Language and Communications needs",154,SLCN,Communication & Interaction,2020
202021,AP,SEN Support,Visual Impairment,7,VI,Physical &/or Sensory,2020
202021,AP,Total,Autistic Spectrum Disorder,642,ASD,Communication & Interaction,2020
202021,AP,Total,Hearing Impairment,20,HI,Physical &/or Sensory,2020
202021,AP,Total,Missing,2210,MN,Other,2020
202021,AP,Total,Moderate Learning Difficulty,435,MLD,Cognition & Learning,2020
202021,AP,Total,Multi- Sensory Impairment,9,MSI,Physical &/or Sensory,2020
202021,AP,Total,Other Difficulty/Disability,246,OTH,Other,2020
202021,AP,Total,Physical Disability,39,PD,Physical &/or Sensory,2020
202021,AP,Total,Profound & Multiple Learning Difficulty,2,PMLD,Cognition & Learning,2020
202021,AP,Total,SEN support but no specialist assessment of type of need,260,NSA,No Specific Assessment,2020
202021,AP,Total,Severe Learning Difficulty,13,SLD,Cognition & Learning,2020
202021,AP,Total,"Social, Emotional and Mental Health",8277,SEMH,"Social, Emotional, Mental Health",2020
202021,AP,Total,Specific Learning Difficulty,324,SPLD,Cognition & Learning,2020
202021,AP,Total,"Speech, Language and Communications needs",295,SLCN,Communication & Interaction,2020
202021,AP,Total,Visual Impairment,13,VI,Physical &/or Sensory,2020
202021,nursery,EHC plans,Autistic Spectrum Disorder,189,ASD,Communication & Interaction,2020
202021,nursery,EHC plans,Hearing Impairment,13,HI,Physical &/or Sensory,2020
202021,nursery,EHC plans,Moderate Learning Difficulty,19,MLD,Cognition & Learning,2020
202021,nursery,EHC plans,Multi- Sensory Impairment,4,MSI,Physical &/or Sensory,2020
202021,nursery,EHC plans,Other Difficulty/Disability,23,OTH,Other,2020
202021,nursery,EHC plans,Physical Disability,22,PD,Physical &/or Sensory,2020
202021,nursery,EHC plans,Profound & Multiple Learning Difficulty,24,PMLD,Cognition & Learning,2020
202021,nursery,EHC plans,Severe Learning Difficulty,57,SLD,Cognition & Learning,2020
202021,nursery,EHC plans,"Social, Emotional and Mental Health",11,SEMH,"Social, Emotional, Mental Health",2020
202021,nursery,EHC plans,Specific Learning Difficulty,16,SPLD,Cognition & Learning,2020
202021,nursery,EHC plans,"Speech, Language and Communications needs",158,SLCN,Communication & Interaction,2020
202021,nursery,EHC plans,Visual Impairment,4,VI,Physical &/or Sensory,2020
202021,nursery,No SEN,Missing,32287,MN,Other,2020
202021,nursery,SEN Support,Autistic Spectrum Disorder,448,ASD,Communication & Interaction,2020
202021,nursery,SEN Support,Hearing Impairment,69,HI,Physical &/or Sensory,2020
202021,nursery,SEN Support,Moderate Learning Difficulty,127,MLD,Cognition & Learning,2020
202021,nursery,SEN Support,Multi- Sensory Impairment,16,MSI,Physical &/or Sensory,2020
202021,nursery,SEN Support,Other Difficulty/Disability,148,OTH,Other,2020
202021,nursery,SEN Support,Physical Disability,224,PD,Physical &/or Sensory,2020
202021,nursery,SEN Support,Profound & Multiple Learning Difficulty,63,PMLD,Cognition & Learning,2020
202021,nursery,SEN Support,SEN support but no specialist assessment of type of need,51,NSA,No Specific Assessment,2020
202021,nursery,SEN Support,Severe Learning Difficulty,85,SLD,Cognition & Learning,2020
202021,nursery,SEN Support,"Social, Emotional and Mental Health",298,SEMH,"Social, Emotional, Mental Health",2020
202021,nursery,SEN Support,Specific Learning Difficulty,70,SPLD,Cognition & Learning,2020
202021,nursery,SEN Support,"Speech, Language and Communications needs",3400,SLCN,Communication & Interaction,2020
202021,nursery,SEN Support,Visual Impairment,39,VI,Physical &/or Sensory,2020
202021,nursery,Total,Autistic Spectrum Disorder,637,ASD,Communication & Interaction,2020
202021,nursery,Total,Hearing Impairment,82,HI,Physical &/or Sensory,2020
202021,nursery,Total,Missing,32287,MN,Other,2020
202021,nursery,Total,Moderate Learning Difficulty,146,MLD,Cognition & Learning,2020
202021,nursery,Total,Multi- Sensory Impairment,20,MSI,Physical &/or Sensory,2020
202021,nursery,Total,Other Difficulty/Disability,171,OTH,Other,2020
202021,nursery,Total,Physical Disability,246,PD,Physical &/or Sensory,2020
202021,nursery,Total,Profound & Multiple Learning Difficulty,87,PMLD,Cognition & Learning,2020
202021,nursery,Total,SEN support but no specialist assessment of type of need,51,NSA,No Specific Assessment,2020
202021,nursery,Total,Severe Learning Difficulty,142,SLD,Cognition & Learning,2020
202021,nursery,Total,"Social, Emotional and Mental Health",309,SEMH,"Social, Emotional, Mental Health",2020
202021,nursery,Total,Specific Learning Difficulty,86,SPLD,Cognition & Learning,2020
202021,nursery,Total,"Speech, Language and Communications needs",3558,SLCN,Communication & Interaction,2020
202021,nursery,Total,Visual Impairment,43,VI,Physical &/or Sensory,2020
202021,primary,EHC plans,Autistic Spectrum Disorder,28758,ASD,Communication & Interaction,2020
202021,primary,EHC plans,Hearing Impairment,2601,HI,Physical &/or Sensory,2020
202021,primary,EHC plans,Moderate Learning Difficulty,7949,MLD,Cognition & Learning,2020
202021,primary,EHC plans,Multi- Sensory Impairment,429,MSI,Physical &/or Sensory,2020
202021,primary,EHC plans,Other Difficulty/Disability,2931,OTH,Other,2020
202021,primary,EHC plans,Physical Disability,5259,PD,Physical &/or Sensory,2020
202021,primary,EHC plans,Profound & Multiple Learning Difficulty,1279,PMLD,Cognition & Learning,2020
202021,primary,EHC plans,Severe Learning Difficulty,2425,SLD,Cognition & Learning,2020
202021,primary,EHC plans,"Social, Emotional and Mental Health",12619,SEMH,"Social, Emotional, Mental Health",2020
202021,primary,EHC plans,Specific Learning Difficulty,4013,SPLD,Cognition & Learning,2020
202021,primary,EHC plans,"Speech, Language and Communications needs",26046,SLCN,Communication & Interaction,2020
202021,primary,EHC plans,Visual Impairment,1292,VI,Physical &/or Sensory,2020
202021,primary,No SEN,Missing,3977737,MN,Other,2020
202021,primary,SEN Support,Autistic Spectrum Disorder,34050,ASD,Communication & Interaction,2020
202021,primary,SEN Support,Hearing Impairment,8795,HI,Physical &/or Sensory,2020
202021,primary,SEN Support,Moderate Learning Difficulty,116744,MLD,Cognition & Learning,2020
202021,primary,SEN Support,Multi- Sensory Impairment,1799,MSI,Physical &/or Sensory,2020
202021,primary,SEN Support,Other Difficulty/Disability,20606,OTH,Other,2020
202021,primary,SEN Support,Physical Disability,13012,PD,Physical &/or Sensory,2020
202021,primary,SEN Support,Profound & Multiple Learning Difficulty,436,PMLD,Cognition & Learning,2020
202021,primary,SEN Support,SEN support but no specialist assessment of type of need,28735,NSA,No Specific Assessment,2020
202021,primary,SEN Support,Severe Learning Difficulty,1483,SLD,Cognition & Learning,2020
202021,primary,SEN Support,"Social, Emotional and Mental Health",100574,SEMH,"Social, Emotional, Mental Health",2020
202021,primary,SEN Support,Specific Learning Difficulty,58796,SPLD,Cognition & Learning,2020
202021,primary,SEN Support,"Speech, Language and Communications needs",196966,SLCN,Communication & Interaction,2020
202021,primary,SEN Support,Visual Impairment,4930,VI,Physical &/or Sensory,2020
202021,primary,Total,Autistic Spectrum Disorder,62808,ASD,Communication & Interaction,2020
202021,primary,Total,Hearing Impairment,11396,HI,Physical &/or Sensory,2020
202021,primary,Total,Missing,3977737,MN,Other,2020
202021,primary,Total,Moderate Learning Difficulty,124693,MLD,Cognition & Learning,2020
202021,primary,Total,Multi- Sensory Impairment,2228,MSI,Physical &/or Sensory,2020
202021,primary,Total,Other Difficulty/Disability,23537,OTH,Other,2020
202021,primary,Total,Physical Disability,18271,PD,Physical &/or Sensory,2020
202021,primary,Total,Profound & Multiple Learning Difficulty,1715,PMLD,Cognition & Learning,2020
202021,primary,Total,SEN support but no specialist assessment of type of need,28735,NSA,No Specific Assessment,2020
202021,primary,Total,Severe Learning Difficulty,3908,SLD,Cognition & Learning,2020
202021,primary,Total,"Social, Emotional and Mental Health",113193,SEMH,"Social, Emotional, Mental Health",2020
202021,primary,Total,Specific Learning Difficulty,62809,SPLD,Cognition & Learning,2020
202021,primary,Total,"Speech, Language and Communications needs",223012,SLCN,Communication & Interaction,2020
202021,primary,Total,Visual Impairment,6222,VI,Physical &/or Sensory,2020
202021,secondary,EHC plans,Autistic Spectrum Disorder,18906,ASD,Communication & Interaction,2020
202021,secondary,EHC plans,Hearing Impairment,2118,HI,Physical &/or Sensory,2020
202021,secondary,EHC plans,Moderate Learning Difficulty,7852,MLD,Cognition & Learning,2020
202021,secondary,EHC plans,Multi- Sensory Impairment,241,MSI,Physical &/or Sensory,2020
202021,secondary,EHC plans,Other Difficulty/Disability,2346,OTH,Other,2020
202021,secondary,EHC plans,Physical Disability,4133,PD,Physical &/or Sensory,2020
202021,secondary,EHC plans,Profound & Multiple Learning Difficulty,288,PMLD,Cognition & Learning,2020
202021,secondary,EHC plans,Severe Learning Difficulty,1190,SLD,Cognition & Learning,2020
202021,secondary,EHC plans,"Social, Emotional and Mental Health",13264,SEMH,"Social, Emotional, Mental Health",2020
202021,secondary,EHC plans,Specific Learning Difficulty,5054,SPLD,Cognition & Learning,2020
202021,secondary,EHC plans,"Speech, Language and Communications needs",11598,SLCN,Communication & Interaction,2020
202021,secondary,EHC plans,Visual Impairment,1380,VI,Physical &/or Sensory,2020
202021,secondary,No SEN,Missing,3023574,MN,Other,2020
